# P	count	tag	form
1.00	1	VERB	появился
1.00	2	NOUN	сыщик
0.80	8	PROPN	Рэнсом
0.20	2	NOUN	Рэнсом
1.00	1	ADJ	Главного
0.67	2	ADJ	полицейского
0.33	1	NOUN	полицейского
1.00	1	NOUN	управления
1.00	1	VERB	считался
1.00	1	ADJ	единственным
1.00	1	NOUN	сыщиком
1.00	1	VERB	мог
1.00	1	ADV	безнаказанно
1.00	1	VERB	прогуливаться
1.00	1	NOUN	районе
1.00	3	PRON	Он
1.00	1	NOUN	трус
1.00	1	VERB	старался
1.00	1	VERB	поступать
1.00	1	NOUN	совести
1.00	1	VERB	посещая
1.00	1	VERB	упомянутые
1.00	1	NOUN	кварталы
1.00	1	VERB	исходил
1.00	1	NOUN	предпосылки
1.00	1	NOUN	обитатели
1.00	1	DET	такие
1.00	1	ADJ	прочие
1.00	1	ADJ	Многие
1.00	1	VERB	относились
1.00	1	PROPN	Рэнсому
1.00	1	NOUN	симпатией
1.00	1	VERB	случалось
1.00	1	VERB	подсказывали
1.00	1	ADV	куда
1.00	1	ADJ	должен
1.00	1	VERB	направить
1.00	1	NOUN	стопы
1.00	2	PRON	Что
1.00	1	NOUN	волнение
1.00	1	ADV	там
1.00	1	ADJ	бледного
1.00	1	NOUN	юнца
1.00	1	PRON	Все
1.00	1	VERB	вышли
1.00	1	VERB	поглазеть
1.00	1	ADJ	бизоньи
1.00	1	NOUN	шкуры
1.00	2	PRON	которые
1.00	1	VERB	повесил
1.00	1	NOUN	девчонку
1.00	1	VERB	отвечал
1.00	1	NOUN	юнец
1.00	1	VERB	Говорят
1.00	1	VERB	отвалил
1.00	1	NUM	девятьсот
1.00	1	ADJ	Шикарная
1.00	1	NOUN	покрышка
1.00	1	VERB	скажешь
1.00	2	VERB	слышал
1.00	1	VERB	занялся
1.00	1	ADJ	старым
1.00	1	NOUN	ремеслом
1.00	1	ADJ	больше
1.00	1	VERB	вожжается
1.00	1	NOUN	бандой
1.00	1	VERB	работает
1.00	1	VERB	подтвердил
1.00	1	NOUN	свитер
1.00	1	VERB	Послушайте
1.00	1	NOUN	приятель
1.00	4	NOUN	меха
1.00	1	DET	вашей
1.00	1	ADV	Пожалуй
1.00	1	DET	таких
1.00	1	NOUN	зверей
1.00	1	VERB	нацепила
1.00	2	PRON	себя
1.00	1	NOUN	девчонка
1.00	1	VERB	поймаешь
1.00	1	ADJ	паяльной
1.00	1	VERB	нагнал
1.00	1	VERB	прогуливающуюся
1.00	1	NOUN	парочку
1.00	1	ADJ	пустынной
1.00	1	VERB	тронул
1.00	1	NOUN	локоть
1.00	1	NUM	два
1.00	1	PROPN	Взгляд
1.00	1	VERB	скользнул
1.00	1	ADJ	длинному
1.00	1	NOUN	пушистому
1.00	1	ADV	элегантно
1.00	1	VERB	спадающему
1.00	1	ADJ	левого
1.00	1	ADP	При
1.00	1	NOUN	виде
1.00	1	NOUN	сыщика
1.00	2	NOUN	лицо
1.00	1	VERB	потемнело
1.00	1	ADJ	застарелой
1.00	1	NOUN	ненависти
1.00	1	NOUN	полиции
1.00	1	PRON	Они
1.00	1	VERB	отошли
1.00	1	NOUN	сторону
1.00	2	ADV	вчера
1.00	1	NOUN	миссис
1.00	1	VERB	Хезкоут
1.00	1	ADJ	Западной
1.00	1	VERB	Семьдесят
1.00	1	ADJ	второй
1.00	1	VERB	Чинил
1.00	1	NOUN	водопровод
1.00	1	VERB	Был
1.00	1	NOUN	стоимостью
1.00	1	NOUN	тысячу
1.00	1	VERB	исчез
1.00	1	ADV	оттуда
1.00	1	ADV	одновременно
1.00	1	NOUN	описанию
1.00	1	ADV	очень
1.00	1	ADJ	похож
1.00	1	DET	твою
1.00	1	NOUN	девушку
1.00	1	VERB	Поди
1.00	1	ADV	поди
1.00	2	NOUN	черту
1.00	1	ADV	запальчиво
1.00	2	NOUN	гарнитур
1.00	1	ADV	внезапно
1.00	1	NOUN	умолк
1.00	1	VERB	закончив
1.00	1	NOUN	фразы
1.00	1	VERB	знаю
1.00	1	VERB	работал
1.00	1	ADJ	последнее
1.00	1	ADJ	готов
1.00	1	VERB	сделать
1.00	1	VERB	могу
1.00	1	ADV	действительно
1.00	1	ADV	вместе
1.00	1	NOUN	магазин
1.00	1	VERB	наведу
1.00	1	NOUN	справки
1.00	1	DET	Твоя
1.00	1	NOUN	девушка
1.00	1	VERB	может
1.00	1	VERB	пойти
1.00	1	PRON	нами
1.00	1	VERB	снимать
1.00	1	PRON	Мы
1.00	1	VERB	сделаем
1.00	1	ADV	тихо
1.00	1	NOUN	свидетелей
1.00	2	ADV	Так
1.00	1	VERB	будет
1.00	1	ADV	правильно
1.00	3	VERB	Пошли
1.00	1	ADV	сердито
1.00	1	ADV	Потом
1.00	1	ADV	вдруг
1.00	1	VERB	остановился
1.00	1	ADJ	какой-то
1.00	1	ADJ	странной
1.00	1	ADJ	кривой
1.00	1	NOUN	улыбкой
1.00	1	VERB	расстроенное
1.00	1	ADJ	испуганное
1.00	1	NOUN	личико
1.00	1	PART	Ни
1.00	1	PRON	чему
1.00	1	ADV	угрюмо
1.00	1	NOUN	старухины
1.00	1	PRON	Тебе
1.00	1	VERB	вернуть
1.00	1	PART	б
1.00	1	PART	даже
1.00	1	NOUN	цена
1.00	1	AUX	была
1.00	1	NOUN	миллион
1.00	1	ADJ	равно
1.00	1	ADV	недостаточно
1.00	1	ADJ	хороши
1.00	1	VERB	искаженным
1.00	1	NOUN	горя
1.00	1	NOUN	лицом
1.00	1	VERB	уцепилась
1.00	1	NOUN	рукав
1.00	1	ADP	О
1.00	1	VERB	разбил
1.00	1	DET	мое
1.00	1	NOUN	сердце
1.00	1	VERB	простонала
1.00	1	VERB	гордилась
1.00	1	VERB	упекут
1.00	3	NOUN	конец
1.00	1	DET	нашему
1.00	1	NOUN	счастью
1.00	1	VERB	Ступай
1.00	2	ADV	домой
1.00	1	ADP	вне
1.00	1	VERB	крикнул
1.00	1	VERB	Идем
1.00	1	VERB	забирай
1.00	1	PRON	чего
1.00	1	VERB	стоишь
1.00	1	PART	Нет
1.00	1	ADJ	постой
1.00	1	PART	-богу
1.00	1	ADV	лучше
1.00	1	VERB	повесят
1.00	1	VERB	Беги
1.00	1	ADP	Из-за
1.00	1	NOUN	угла
1.00	1	ADJ	дровяного
1.00	1	NOUN	склада
1.00	1	VERB	появилась
1.00	1	NOUN	фигура
1.00	2	PROPN	Коуна
1.00	1	VERB	направляющегося
1.00	1	NOUN	обход
1.00	1	ADJ	речного
1.00	2	NOUN	Сыщик
1.00	1	VERB	поманил
1.00	6	PROPN	Коун
1.00	1	VERB	подошел
1.00	1	VERB	объяснил
1.00	1	NOUN	положение
1.00	1	NOUN	вещей
1.00	1	VERB	пропали
1.00	1	VERB	нашел
1.00	1	VERB	приподнял
1.00	1	NOUN	ладони
1.00	1	ADJ	собольего
1.00	1	ADJ	бывшей
1.00	1	NOUN	собственности
1.00	1	PROPN	Мак
1.00	1	PROPN	Кивер
1.00	1	ADV	внимательно
1.00	1	ADV	Когда-то
1.00	1	VERB	торговал
1.00	1	NOUN	мехами
1.00	1	ADJ	Шестой
1.00	1	ADV	конечно
1.00	1	ADP	С
1.00	1	NOUN	Аляски
1.00	1	NOUN	Боа
1.00	2	NUM	двенадцать
1.00	1	NOUN	Бац
1.00	1	NOUN	крепкой
1.00	1	ADJ	пятерней
1.00	1	VERB	запечатал
1.00	1	ADJ	полицейскому
1.00	1	NOUN	рот
1.00	1	VERB	покачнулся
1.00	1	VERB	сохранил
1.00	1	NOUN	равновесие
1.00	1	VERB	взвизгнула
1.00	1	VERB	бросился
1.00	1	VERB	надел
1.00	2	NOUN	наручники
1.00	1	NUM	девять
1.00	1	VERB	упорствовал
1.00	1	PRON	вы
1.00	1	ADV	тут
1.00	1	VERB	толкуете
1.00	1	VERB	опустился
1.00	1	NOUN	груду
1.00	1	NOUN	бревен
1.00	1	ADV	медленно
1.00	1	VERB	залилось
1.00	1	NOUN	краской
1.00	1	ADV	Правильно
1.00	1	PROPN	Всезнайка
1.00	1	NOUN	ненавистью
1.00	1	VERB	глядя
1.00	2	NUM	один
1.00	1	NOUN	доллар
1.00	1	NOUN	центов
1.00	1	VERB	презирающий
1.00	1	PRON	Мне
1.00	1	ADJ	легче
1.00	1	VERB	отсидеть
1.00	1	NUM	шесть
1.00	1	NOUN	тюрьме
1.00	1	VERB	признаться
1.00	1	PRON	этом
1.00	1	PART	просто-напросто
1.00	1	NOUN	хвастун
1.00	1	DET	мой
1.00	1	NOUN	заработок
1.00	1	VERB	купишь
1.00	1	VERB	кинулась
1.00	1	NOUN	шею
1.00	1	NOUN	денег
1.00	1	PRON	Ничего
1.00	1	NOUN	свете
1.00	1	ADP	кроме
1.00	1	DET	моего
1.00	2	ADJ	глупый
1.00	1	NOUN	тупой
1.00	1	NOUN	индюк
1.00	1	NOUN	сумасшедший
1.00	1	VERB	задавала
1.00	1	ADJ	Сними
1.00	2	NOUN	сыщику
1.00	1	NOUN	участок
1.00	1	VERB	звонили
1.00	1	DET	эта
1.00	1	NOUN	особа
1.00	1	VERB	нашла
1.00	1	VERB	висели
1.00	1	PRON	нее
1.00	1	NOUN	шкафу
1.00	1	ADJ	Молодой
1.00	1	NOUN	человек
1.00	1	NOUN	раз
1.00	1	VERB	прощаю
1.00	1	PRON	вам
1.00	1	ADJ	непочтительное
1.00	1	NOUN	обращение
1.00	1	NOUN	физиономией
1.00	1	VERB	протянул
1.00	1	VERB	сводя
1.00	1	VERB	сияющего
1.00	1	NOUN	взора
1.00	1	ADJ	грациозным
1.00	1	ADJ	достойным
1.00	1	NOUN	герцогини
1.00	1	VERB	набросила
1.00	1	VERB	перекинув
1.00	1	NOUN	спину
1.00	1	NOUN	Пара
1.00	1	NOUN	идиотов
1.00	1	VERB	Пойдем
1.00	1	ADV	отсюда
